restaurant_link,restaurant_name,original_location,country,region,province,city,address,latitude,longitude,claimed,awards,popularity_detailed,popularity_generic,top_tags,price_level,price_range,meals,cuisines,special_diets,features,vegetarian_friendly,vegan_options,gluten_free,original_open_hours,open_days_per_week,open_hours_per_week,working_shifts_per_week,avg_rating,total_reviews_count,default_language,reviews_count_in_default_language,excellent,very_good,average,poor,terrible,food,service,value,atmosphere,keywords
g190454-d13970088,Blended Shisha Lounge,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Stubenring 4 Urania, Vienna 1010 Austria",48.210308,16.382618,Claimed,,#1944 of 3747 Restaurants in Vienna,#2182 of 4650 places to eat in Vienna,"Mid-range, Austrian, European, Greek",€€-€€€,,"Lunch, Dinner","Austrian, European, Greek, Russian, Arabic",,"Accepts Credit Cards, Table Service, Reservations",N,N,N,"{""Mon"": [""14:00-01:00""], ""Tue"": [""14:00-01:00""], ""Wed"": [""14:00-01:00""], ""Thu"": [""14:00-02:00""], ""Fri"": [""14:00-02:00""], ""Sat"": [""14:00-01:00""], ""Sun"": [""14:00-01:00""]}",7.0,79.0,7.0,4.5,32.0,English,7.0,5.0,0.0,0.0,0.0,2.0,,,,,
g190454-d13971685,Marrakesch Restaurant,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Neuer Markt 8a, Vienna 1010 Austria",48.2056,16.370476,Unclaimed,,#3716 of 3747 Restaurants in Vienna,#4151 of 4650 places to eat in Vienna,"Mid-range, Middle Eastern",€€-€€€,€5-€40,"Lunch, Dinner",Middle Eastern,,,N,N,N,"{""Mon"": [""11:00-00:00""], ""Tue"": [""11:00-00:00""], ""Wed"": [""11:00-00:00""], ""Thu"": [""11:00-00:00""], ""Fri"": [""11:00-02:00""], ""Sat"": [""11:00-02:00""], ""Sun"": [""10:00-23:00""]}",7.0,95.0,7.0,2.5,12.0,English,4.0,0.0,1.0,1.0,1.0,1.0,,,,,
g190454-d13972644,Rinderwahn am Naschmarkt,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Naschmarkt 1a, Vienna 1060 Austria",48.1998,16.365795,Claimed,"Travellers' Choice, Certificate of Excellence 2020",#1396 of 3747 Restaurants in Vienna,#1562 of 4650 places to eat in Vienna,"Cheap Eats, American, Fast food",€,€6-€12,"Lunch, Dinner, Drinks","American, Fast food",,,N,N,N,"{""Mon"": [], ""Tue"": [""11:30-20:00""], ""Wed"": [""11:30-20:00""], ""Thu"": [""11:30-20:00""], ""Fri"": [""11:30-20:00""], ""Sat"": [""11:30-20:00""], ""Sun"": []}",5.0,42.5,5.0,4.0,35.0,English,9.0,6.0,1.0,1.0,0.0,1.0,5.0,4.5,5.0,,
g190454-d13973048,Scala,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Ignaz-Koeck-Strasse 1 Shopping Center Nord, Vienna 1210 Austria",48.26713,16.39953,Unclaimed,,#3358 of 3747 Restaurants in Vienna,#3766 of 4650 places to eat in Vienna,"Mid-range, Italian, Pizza, Cafe",€€-€€€,,,"Italian, Pizza, Cafe, Diner",,,N,N,N,,,,,3.5,3.0,English,2.0,1.0,0.0,0.0,1.0,0.0,,,,,
g190454-d13974257,Colono | Gourmet Shop & Tapas Bar,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Landstraßer Hauptstraße 6, Vienna 1030 Austria",48.205246,16.386995,Claimed,"Travellers' Choice, Certificate of Excellence 2020",#43 of 3747 Restaurants in Vienna,#51 of 4650 places to eat in Vienna,"Mid-range, Mediterranean, Spanish, Deli",€€-€€€,€12-€50,,"Mediterranean, Spanish, Deli, Wine Bar","Gluten Free Options, Vegetarian Friendly",,Y,N,Y,"{""Mon"": [""11:00-22:00""], ""Tue"": [""11:00-22:00""], ""Wed"": [""11:00-22:00""], ""Thu"": [""11:00-22:00""], ""Fri"": [""11:00-22:00""], ""Sat"": [""11:00-22:00""], ""Sun"": []}",6.0,66.0,6.0,5.0,126.0,English,45.0,39.0,4.0,1.0,1.0,0.0,4.5,4.5,4.5,,
g190454-d13982939,Afgan Palast,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Pragerstrasse, Vienna 1210 Austria",48.29009,16.38118,Unclaimed,,#3665 of 3747 Restaurants in Vienna,#4099 of 4650 places to eat in Vienna,"Middle Eastern, Afghani",,,,"Middle Eastern, Afghani",,,N,N,N,,,,,1.0,1.0,All languages,1.0,0.0,0.0,0.0,0.0,1.0,,,,,
g190454-d13986102,Casa Sapore,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Forsthausgasse 16-20, Vienna 1200 Austria",48.245373,16.372765,Unclaimed,,,,European,,,,European,,,N,N,N,,,,,,,,,,,,,,,,,,
g190454-d13987995,The Pelican Coffee Company,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Pelikangasse 4, Vienna 1090 Austria",48.21565,16.348194,Claimed,,#117 of 265 Coffee & Tea in Vienna,#1740 of 4650 places to eat in Vienna,"Cheap Eats, Cafe",€,€2-€8,Drinks,Cafe,,,N,N,N,"{""Mon"": [""08:00-18:00""], ""Tue"": [""08:00-18:00""], ""Wed"": [""08:00-18:00""], ""Thu"": [""08:00-18:00""], ""Fri"": [""08:00-18:00""], ""Sat"": [""10:00-16:00""], ""Sun"": []}",6.0,56.0,6.0,5.0,10.0,English,5.0,5.0,0.0,0.0,0.0,0.0,,,,,
g190454-d13991547,Stilbruch Restaurant,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Gumpendorferstraße 16, Vienna 1060 Austria",48.1998,16.36057,Claimed,,#647 of 3747 Restaurants in Vienna,#729 of 4650 places to eat in Vienna,"Mid-range, International, European, Vegetarian Friendly",€€-€€€,€4-€16,,"International, European",Vegetarian Friendly,,Y,N,N,,,,,4.5,51.0,English,17.0,13.0,1.0,2.0,0.0,1.0,5.0,5.0,4.5,,
g190454-d13994108,Nook Café,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Altgasse 12 3min from main Entrance of Schönbrunn, Vienna 1130 Austria",48.185333,16.29943,Claimed,"Travellers' Choice, Certificate of Excellence 2020",#44 of 265 Coffee & Tea in Vienna,#611 of 4650 places to eat in Vienna,"Cheap Eats, Austrian, Cafe, Mediterranean",€,€3-€10,,"Austrian, Mediterranean, Fusion, Cafe, European","Vegetarian Friendly, Vegan Options",,Y,Y,N,"{""Mon"": [""14:00-18:00""], ""Tue"": [""14:00-18:00""], ""Wed"": [""14:00-18:00""], ""Thu"": [""14:00-18:00""], ""Fri"": [""14:00-18:00""], ""Sat"": [""11:00-18:00""], ""Sun"": []}",6.0,27.0,6.0,5.0,37.0,English,6.0,6.0,0.0,0.0,0.0,0.0,5.0,5.0,4.5,,
g190454-d13994150,Huhnerparadies,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Wallensteinstrasse 48, Vienna 1200 Austria",48.23045,16.37359,Unclaimed,,#2526 of 3747 Restaurants in Vienna,#2844 of 4650 places to eat in Vienna,Deli,,,,Deli,,,N,N,N,,,,,5.0,3.0,English,1.0,1.0,0.0,0.0,0.0,0.0,,,,,
g190454-d13995093,Café Ausnahmsweise,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Hofmuehlgasse 18, Vienna 1060 Austria",48.19424,16.35141,Claimed,,#1437 of 3747 Restaurants in Vienna,#1610 of 4650 places to eat in Vienna,Mid-range,€€-€€€,,"Lunch, Dinner, Drinks",,,"Reservations, Outdoor Seating, Seating, Wine and Beer, Digital Payments, Free Wifi, Accepts Credit Cards",N,N,N,"{""Mon"": [], ""Tue"": [""12:00-18:30""], ""Wed"": [""12:00-18:30""], ""Thu"": [""12:00-18:30""], ""Fri"": [""12:00-18:30""], ""Sat"": [""12:00-18:30""], ""Sun"": []}",5.0,32.5,5.0,5.0,10.0,English,2.0,2.0,0.0,0.0,0.0,0.0,,,,,
g190454-d13995680,Vanella - bar del gelato,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Nußdorferstrasse 47, Vienna 1090 Austria",48.22795,16.35465,Claimed,,#648 of 3747 Restaurants in Vienna,#730 of 4650 places to eat in Vienna,"Mid-range, Italian, Bar, Cafe",€€-€€€,,"Brunch, Drinks","Italian, Bar, Cafe",,"Seating, Takeout, Reservations, Outdoor Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Digital Payments, Free Wifi",N,N,N,"{""Mon"": [""11:00-22:00""], ""Tue"": [""11:00-22:00""], ""Wed"": [""11:00-22:00""], ""Thu"": [""11:00-22:00""], ""Fri"": [""11:00-22:00""], ""Sat"": [""11:00-22:00""], ""Sun"": [""11:00-22:00""]}",7.0,77.0,7.0,5.0,27.0,English,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,,,
g190454-d13996453,Gundis Café & Restaurant,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Seidengasse 34 Kaiserstrasse 38, Vienna 1070 Austria",48.200333,16.340899,Claimed,,#704 of 3747 Restaurants in Vienna,#795 of 4650 places to eat in Vienna,"Mid-range, International, Diner, Vegetarian Friendly",€€-€€€,€5-€15,,"International, Diner",Vegetarian Friendly,,Y,N,N,"{""Mon"": [""11:30-20:00""], ""Tue"": [""11:30-20:00""], ""Wed"": [""11:30-20:00""], ""Thu"": [""11:30-20:00""], ""Fri"": [""11:30-20:00""], ""Sat"": [""12:00-20:00""], ""Sun"": [""12:00-20:00""]}",7.0,58.5,7.0,4.5,29.0,English,9.0,8.0,1.0,0.0,0.0,0.0,4.5,5.0,4.5,,
g190454-d13999539,Cafe Fortuna,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Baumgasse 22, Vienna 1030 Austria",48.19493,16.39874,Unclaimed,,#2870 of 3747 Restaurants in Vienna,#3220 of 4650 places to eat in Vienna,,,,,,,,N,N,N,,,,,4.5,2.0,English,2.0,1.0,1.0,0.0,0.0,0.0,,,,,
g190454-d14000361,Alma Gastrotheque,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Große Neugasse 31, Vienna 1040 Austria",48.193974,16.363176,Unclaimed,,#1216 of 3747 Restaurants in Vienna,#1363 of 4650 places to eat in Vienna,"Mid-range, Austrian, Bar, Cafe",€€-€€€,,Dinner,"European, Austrian, Bar, Cafe, Fusion",,"Reservations, Seating, Table Service",N,N,N,,,,,4.5,15.0,English,4.0,3.0,1.0,0.0,0.0,0.0,4.5,4.5,4.5,,
g190454-d14000774,Pasti-Eck,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Suessenbrunner Strasse 62 Gl 4, Vienna 1220 Austria",48.24695,16.472937,Claimed,,#234 of 265 Coffee & Tea in Vienna,#3490 of 4650 places to eat in Vienna,"Cheap Eats, Austrian, European",€,,"Breakfast, Drinks","Austrian, European",,"Takeout, Seating, Street Parking, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Digital Payments",N,N,N,"{""Mon"": [""06:00-09:00"", ""13:00-18:00""], ""Tue"": [""06:00-09:00"", ""13:00-18:00""], ""Wed"": [""06:00-09:00"", ""13:00-18:00""], ""Thu"": [""06:00-09:00"", ""13:00-18:00""], ""Fri"": [""06:00-09:00"", ""13:00-18:00""], ""Sat"": [], ""Sun"": []}",5.0,40.0,10.0,5.0,1.0,All languages,1.0,1.0,0.0,0.0,0.0,0.0,,,,,
g190454-d14001312,Veganista,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Amerlingstrasse 19, Vienna 1060 Austria",48.19788,16.35023,Unclaimed,,#1896 of 3747 Restaurants in Vienna,#2133 of 4650 places to eat in Vienna,"Cheap Eats, Cafe",€,,,Cafe,,,N,N,N,,,,,4.5,7.0,English,3.0,3.0,0.0,0.0,0.0,0.0,,,,,
g190454-d14002223,Rinkhy Delikatessen Bar,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Zieglergasse 37, Vienna 1070 Austria",48.202316,16.344921,Claimed,,#1082 of 3747 Restaurants in Vienna,#1213 of 4650 places to eat in Vienna,"Mid-range, Seafood, European, Deli",€€-€€€,€5-€15,"Dinner, After-hours, Drinks","Seafood, European, Deli, Wine Bar",,,N,N,N,"{""Mon"": [""17:30-00:00""], ""Tue"": [""17:30-00:00""], ""Wed"": [""17:30-00:00""], ""Thu"": [""17:30-00:00""], ""Fri"": [""17:30-00:00""], ""Sat"": [""17:30-00:00""], ""Sun"": []}",6.0,39.0,6.0,5.0,16.0,English,10.0,10.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,,
g190454-d1400922,Garten Eden,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Obere Weissgerberstrasse 6, Vienna 1030 Austria",48.212,16.38774,Unclaimed,,,,"Fine Dining, Austrian, European",€€€€,€50-€64,,"Austrian, European",,Outdoor Seating,N,N,N,,,,,,,,,,,,,,,,,,
g190454-d14010781,Wintergarten im Sünnhof,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Landstraße Hauptstraße 28 Mercure Grand Hotel Biedermeyer, Vienna 1030 Austria",48.19391,16.40574,Unclaimed,,#3569 of 3747 Restaurants in Vienna,#3994 of 4650 places to eat in Vienna,,,,,,,Reservations,N,N,N,,,,,2.5,3.0,All languages,3.0,0.0,0.0,2.0,1.0,0.0,,,,,
g190454-d14012370,The Nice Guys,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Karl-Farkas-Gasse 18, Vienna 1030 Austria",48.18889,16.405073,Unclaimed,,#1803 of 3747 Restaurants in Vienna,#2032 of 4650 places to eat in Vienna,"Mid-range, Brew Pub, Mediterranean, Asian",€€-€€€,€4-€12,"Lunch, Dinner","Brew Pub, Mediterranean, Asian, Pub",,,N,N,N,,,,,4.5,11.0,English,2.0,1.0,1.0,0.0,0.0,0.0,4.5,4.5,4.0,,
g190454-d14012407,Sehzade Restaurant,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Quellenstrasse 90/3, Vienna 1100 Austria",48.1759,16.37185,Unclaimed,,#3301 of 3747 Restaurants in Vienna,#3704 of 4650 places to eat in Vienna,Turkish,,,,Turkish,,,N,N,N,,,,,4.0,1.0,All languages,1.0,0.0,1.0,0.0,0.0,0.0,,,,,
g190454-d14015506,La Stazione,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Vorgartenstrasse 126, Vienna 1020 Austria",48.226566,16.398985,Unclaimed,,#2672 of 3747 Restaurants in Vienna,#3005 of 4650 places to eat in Vienna,"Mid-range, Italian",€€-€€€,€10-€30,,Italian,,,N,N,N,,,,,4.5,3.0,English,1.0,0.0,1.0,0.0,0.0,0.0,,,,,
g190454-d14018179,Stuwer - Neues Wiener Beisl,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Stuwerstrasse 47 Ecklokal, Vienna 1020 Austria",48.218822,16.407194,Unclaimed,"Travellers' Choice, Certificate of Excellence 2020",#432 of 3747 Restaurants in Vienna,#484 of 4650 places to eat in Vienna,"Mid-range, Austrian, European, Central European",€€-€€€,,"Lunch, Dinner","Austrian, European, Central European",Vegetarian Friendly,,Y,N,N,"{""Mon"": [""17:30-23:00""], ""Tue"": [""17:30-23:00""], ""Wed"": [""17:30-23:00""], ""Thu"": [""17:30-23:00""], ""Fri"": [""17:30-23:00""], ""Sat"": [""17:30-23:00""], ""Sun"": [""12:00-22:00""]}",7.0,43.0,7.0,4.5,74.0,English,8.0,5.0,3.0,0.0,0.0,0.0,4.5,4.5,4.0,,
g190454-d14023134,Kurkonditorei Oberlaa,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Simmeringer Hauptstrasse 234 Central Cemetery, Vienna 1110 Austria",48.154156,16.441187,Unclaimed,,#15 of 72 Bakeries in Vienna,#1337 of 4650 places to eat in Vienna,"Mid-range, Bakeries, Austrian, Cafe",€€-€€€,,Breakfast,"Cafe, Austrian, European",Vegetarian Friendly,,Y,N,N,,,,,4.5,18.0,English,4.0,2.0,2.0,0.0,0.0,0.0,5.0,4.5,4.5,,
g190454-d14024654,Lala's Kitchen,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Kettenbrueckengasse 13, Vienna 1050 Austria",48.19546,16.36023,Unclaimed,,#2971 of 3747 Restaurants in Vienna,#3334 of 4650 places to eat in Vienna,Chinese,,,,Chinese,,,N,N,N,,,,,4.0,2.0,English,1.0,0.0,1.0,0.0,0.0,0.0,,,,,
g190454-d14025185,Der Mann,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Feldgasse 14, Vienna 1080 Austria",48.21504,16.3458,Unclaimed,,#216 of 265 Coffee & Tea in Vienna,#3128 of 4650 places to eat in Vienna,,,,,,,,N,N,N,,,,,3.5,9.0,English,4.0,1.0,2.0,0.0,1.0,0.0,,,,,
g190454-d14029269,Stastino,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Breitenfurter Strasse 372 Riverside Shopping Mall 1st floor, Vienna 1230 Austria",48.13665,16.27965,Unclaimed,,#1277 of 3747 Restaurants in Vienna,#1426 of 4650 places to eat in Vienna,"European, Healthy, Central European",,,Dinner,"European, Healthy, Central European",,"Reservations, Table Service, Seating",N,N,N,,,,,5.0,14.0,English,1.0,0.0,0.0,1.0,0.0,0.0,,,,,
g190454-d14029491,Kent Restaurant Favoriten,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Gudrunstrasse 120, Vienna 1100 Austria",48.17807,16.37765,Unclaimed,,#2871 of 3747 Restaurants in Vienna,#3221 of 4650 places to eat in Vienna,"Mid-range, Turkish",€€-€€€,,,Turkish,,,N,N,N,,,,,3.5,5.0,English,1.0,0.0,1.0,0.0,0.0,0.0,,,,,
g190454-d14032339,Veggiezz,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Keplerplatz 11, Vienna 1100 Austria",48.179214,16.376492,Claimed,,#1986 of 3747 Restaurants in Vienna,#2233 of 4650 places to eat in Vienna,"Mid-range, Contemporary, Vegetarian Friendly",€€-€€€,€5-€15,,Contemporary,Vegetarian Friendly,,Y,N,N,,,,,4.0,18.0,English,10.0,3.0,2.0,3.0,2.0,0.0,,,,,
g190454-d14032813,Shin Ju,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Favoritenstr. 24, Vienna 1040 Austria",48.19345,16.37029,Unclaimed,,#3595 of 3747 Restaurants in Vienna,#4023 of 4650 places to eat in Vienna,Asian,,,,Asian,,,N,N,N,,,,,2.5,3.0,English,2.0,1.0,0.0,0.0,1.0,0.0,,,,,
g190454-d14033366,Backerei Fabella,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Maroltingergasse 88, Vienna 1160 Austria",48.21268,16.30653,Unclaimed,,#66 of 72 Bakeries in Vienna,#3703 of 4650 places to eat in Vienna,"Bakeries, Cafe, Deli",,,,"Cafe, Deli",,,N,N,N,,,,,4.0,1.0,All languages,1.0,0.0,1.0,0.0,0.0,0.0,,,,,
g190454-d14047033,Restaurant Rhodos,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Linzer Strasse 100, Vienna 1140 Austria",48.19377,16.30252,Unclaimed,,#2079 of 3747 Restaurants in Vienna,#2337 of 4650 places to eat in Vienna,"Mid-range, Mediterranean, Greek",€€-€€€,€10-€20,"Lunch, Dinner","Mediterranean, Greek",,,N,N,N,"{""Mon"": [""10:00-15:00"", ""17:30-22:00""], ""Tue"": [""10:00-15:00"", ""17:30-22:00""], ""Wed"": [""10:00-15:00"", ""17:30-22:00""], ""Thu"": [""10:00-15:00"", ""17:30-22:00""], ""Fri"": [""10:00-15:00"", ""17:30-22:00""], ""Sat"": [""10:00-15:00"", ""17:30-22:00""], ""Sun"": [""11:30-22:00""]}",7.0,67.5,13.0,4.0,11.0,English,3.0,3.0,0.0,0.0,0.0,0.0,,,,,
g190454-d14055575,Espressomobil Coffee Shop,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Praterstrasse 1 At WeXelerate, Vienna 1020 Austria",48.21269,16.3797,Claimed,,#262 of 265 Coffee & Tea in Vienna,#4055 of 4650 places to eat in Vienna,"Cheap Eats, Italian, Austrian, European",€,€2-€5,"Breakfast, Brunch","Austrian, European, Italian",,,N,N,N,"{""Mon"": [""08:00-17:00""], ""Tue"": [""08:00-17:00""], ""Wed"": [""08:00-17:00""], ""Thu"": [""08:00-17:00""], ""Fri"": [""08:00-17:00""], ""Sat"": [], ""Sun"": []}",5.0,45.0,5.0,5.0,2.0,All languages,2.0,2.0,0.0,0.0,0.0,0.0,,,,,
g190454-d14055672,Cafe Caramel,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Meidlinger Hauptstrasse 4, Vienna 1120 Austria",48.18272,16.32957,Unclaimed,,#3299 of 3747 Restaurants in Vienna,#3701 of 4650 places to eat in Vienna,,,,,,,,N,N,N,,,,,4.0,1.0,All languages,1.0,0.0,1.0,0.0,0.0,0.0,,,,,
g190454-d14057103,Hollerkoch,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Gersthoferstraße 14, Vienna 1180 Austria",48.23314,16.32824,Claimed,"Travellers' Choice, Certificate of Excellence 2020",#768 of 3747 Restaurants in Vienna,#868 of 4650 places to eat in Vienna,"Mid-range, Austrian, European, Vegetarian Friendly",€€-€€€,€10-€28,,"Austrian, European",Vegetarian Friendly,,Y,N,N,"{""Mon"": [""16:30-00:00""], ""Tue"": [""16:30-00:00""], ""Wed"": [""16:30-00:00""], ""Thu"": [""16:30-00:00""], ""Fri"": [""09:00-00:00""], ""Sat"": [""09:00-00:00""], ""Sun"": [""09:00-22:00""]}",7.0,73.0,7.0,4.0,98.0,English,5.0,5.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,,
g190454-d14066756,Al Banco,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Am Belvedere 1, Vienna 1100 Austria",48.18692,16.38091,Unclaimed,,#2472 of 3747 Restaurants in Vienna,#2783 of 4650 places to eat in Vienna,"Mid-range, Italian, Bar, Pub",€€-€€€,,,"Italian, Bar, Pub",,Reservations,N,N,N,,,,,4.0,8.0,All languages,8.0,6.0,0.0,0.0,0.0,2.0,,,,,
g190454-d14073677,Asia-Restaurant Chiki,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Siegfriedgasse 19, Vienna 1210 Austria",48.25746,16.41052,Unclaimed,,#2040 of 3747 Restaurants in Vienna,#2296 of 4650 places to eat in Vienna,"Mid-range, Chinese, Japanese, Sushi",€€-€€€,,,"Sushi, Asian, Chinese, Japanese",,Reservations,N,N,N,,,,,4.5,8.0,English,1.0,1.0,0.0,0.0,0.0,0.0,,,,,
g190454-d14073838,Flying Diner,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Pragsterstrasse 4, Vienna 1210 Austria",48.27078,16.4111,Unclaimed,,,,"Steakhouse, Fast food, Grill",,,,"Steakhouse, Fast food, Grill",,,N,N,N,,,,,,,,,,,,,,,,,,
g190454-d14078913,Salad Jungle,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Biberstrasse 11, Vienna 1010 Austria",48.20924,16.380981,Claimed,,#1566 of 3747 Restaurants in Vienna,#1754 of 4650 places to eat in Vienna,"Fast food, Deli, Street Food",,,"Breakfast, Lunch, Dinner, Drinks","Street Food, Fast food, Deli",,"Outdoor Seating, Seating, Digital Payments, Accepts Credit Cards",N,N,N,"{""Mon"": [""08:00-20:00""], ""Tue"": [""08:00-20:00""], ""Wed"": [""08:00-20:00""], ""Thu"": [""08:00-20:00""], ""Fri"": [""08:00-20:00""], ""Sat"": [], ""Sun"": []}",5.0,60.0,5.0,5.0,10.0,English,3.0,3.0,0.0,0.0,0.0,0.0,,,,,
g190454-d14079850,Konya Etli Ekmek,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Leibnizgasse 15, Vienna 1100 Austria",48.17492,16.37645,Unclaimed,,#2423 of 3747 Restaurants in Vienna,#2726 of 4650 places to eat in Vienna,,,,"Breakfast, Lunch, Dinner",,,,N,N,N,"{""Mon"": [""08:00-00:00""], ""Tue"": [""08:00-00:00""], ""Wed"": [""08:00-00:00""], ""Thu"": [""08:00-00:00""], ""Fri"": [""08:00-00:00""], ""Sat"": [""08:00-00:00""], ""Sun"": [""08:00-00:00""]}",7.0,112.0,7.0,5.0,3.0,English,2.0,2.0,0.0,0.0,0.0,0.0,,,,,
g190454-d1408091,Vinum et cetera,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Hohlweggasse 33, Vienna 1030 Austria",48.189693,16.386654,Unclaimed,,#2836 of 3747 Restaurants in Vienna,#3180 of 4650 places to eat in Vienna,Wine Bar,,,Dinner,Wine Bar,,,N,N,N,"{""Mon"": [""17:00-22:00""], ""Tue"": [""17:00-22:00""], ""Wed"": [""17:00-22:00""], ""Thu"": [""17:00-22:00""], ""Fri"": [""17:00-22:00""], ""Sat"": [], ""Sun"": []}",5.0,25.0,5.0,4.0,5.0,All languages,5.0,3.0,1.0,0.0,0.0,1.0,,,,,
g190454-d14081508,Haferei,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Koellnerhofgasse 6, Vienna 1010 Austria",48.21052,16.37605,Unclaimed,,#2528 of 3747 Restaurants in Vienna,#2846 of 4650 places to eat in Vienna,"Cafe, European, Healthy",,,"Breakfast, Lunch","Cafe, European, Healthy",,,N,N,N,"{""Mon"": [""07:45-13:00""], ""Tue"": [""07:45-13:00""], ""Wed"": [""07:45-13:00""], ""Thu"": [""07:45-13:00""], ""Fri"": [""07:45-13:00""], ""Sat"": [], ""Sun"": []}",5.0,26.25,5.0,5.0,3.0,English,1.0,1.0,0.0,0.0,0.0,0.0,,,,,
