restaurant_link,restaurant_name,original_location,country,region,province,city,address,latitude,longitude,claimed,awards,popularity_detailed,popularity_generic,top_tags,price_level,price_range,meals,cuisines,special_diets,features,vegetarian_friendly,vegan_options,gluten_free,original_open_hours,open_days_per_week,open_hours_per_week,working_shifts_per_week,avg_rating,total_reviews_count,default_language,reviews_count_in_default_language,excellent,very_good,average,poor,terrible,food,service,value,atmosphere,keywords
g190454-d5865822,The View Restaurant Cafe Bar,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Handelskai 265, Vienna 1020 Austria",48.224854,16.407537,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",#141 of 3747 Restaurants in Vienna,#164 of 4650 places to eat in Vienna,"Mid-range, Austrian, Bar, European",€€-€€€,,"Breakfast, Lunch, Dinner","Austrian, Bar, European, Central European","Vegetarian Friendly, Gluten Free Options",,Y,N,Y,"{""Mon"": [""10:00-01:00""], ""Tue"": [""10:00-01:00""], ""Wed"": [""10:00-01:00""], ""Thu"": [""10:00-01:00""], ""Fri"": [""10:00-01:00""], ""Sat"": [""10:00-01:00""], ""Sun"": [""10:00-01:00""]}",7.0,105.0,7.0,4.0,297.0,English,94.0,33.0,35.0,16.0,4.0,6.0,4.5,4.0,4.0,4.0,
g190454-d5870398,Restaurant Die Kueche,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Schottenring 24 Palais Hansen Kempinski Vienna, Vienna 1010 Austria",48.21611,16.368048,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015",#515 of 3747 Restaurants in Vienna,#579 of 4650 places to eat in Vienna,"Fine Dining, Austrian, International, European",€€€€,€8-€22,,"European, Austrian, International, Contemporary, Central European","Vegetarian Friendly, Gluten Free Options",,Y,N,Y,"{""Mon"": [""06:30-10:30""], ""Tue"": [""06:30-10:30""], ""Wed"": [""06:30-10:30""], ""Thu"": [""06:30-10:30""], ""Fri"": [""06:30-10:30""], ""Sat"": [""07:00-14:00""], ""Sun"": [""07:00-14:00""]}",7.0,34.0,7.0,4.5,148.0,English,63.0,37.0,20.0,3.0,1.0,2.0,4.5,4.5,4.0,4.5,
g190454-d5874531,Schile Imbiss & Lebensmittel,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Morizgasse 8, Vienna 1060 Austria",48.19039,16.34475,Unclaimed,,,,"Pizza, Turkish",,,,"Pizza, Turkish",,,N,N,N,,,,,,,,,,,,,,,,,,
g190454-d5887900,Demmers Teehaus,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Moelker Bastei 5 1010 Vienna, Vienna 1010 Austria",48.21303,16.36276,Claimed,,#1343 of 3747 Restaurants in Vienna,#1505 of 4650 places to eat in Vienna,Mid-range,€€-€€€,€3-€5,"Breakfast, Lunch, Dinner",,,"Takeout, Seating, Accepts Mastercard, Accepts Visa, Accepts Credit Cards",N,N,N,"{""Mon"": [""09:00-18:00""], ""Tue"": [""09:00-18:00""], ""Wed"": [""09:00-18:00""], ""Thu"": [""09:00-18:00""], ""Fri"": [""09:00-18:00""], ""Sat"": [""09:30-13:30""], ""Sun"": []}",6.0,49.0,6.0,4.0,34.0,English,9.0,5.0,2.0,0.0,2.0,0.0,4.0,3.5,4.0,,
g190454-d5890458,Café Restaurant Schönbrunn,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Schoenbrunner Strasse 244, Vienna 1120 Austria",48.183197,16.323423,Claimed,,#2754 of 3747 Restaurants in Vienna,#3094 of 4650 places to eat in Vienna,"Mid-range, Austrian, Cafe, European",€€-€€€,,"Breakfast, Lunch, Dinner","Central European, Austrian, Cafe, European",,"Seating, Serves Alcohol, Reservations, Outdoor Seating, Table Service",N,N,N,"{""Mon"": [""08:00-22:30""], ""Tue"": [""08:00-22:30""], ""Wed"": [""08:00-22:30""], ""Thu"": [""08:00-22:30""], ""Fri"": [""08:00-22:30""], ""Sat"": [""08:00-22:30""], ""Sun"": [""08:00-22:30""]}",7.0,101.5,7.0,3.0,92.0,English,30.0,7.0,6.0,11.0,0.0,6.0,3.5,3.5,3.0,3.0,
g190454-d5891922,Alt Wiener Salon,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Neubaugasse 34, Vienna 1070 Austria",48.20079,16.34925,Unclaimed,,#3137 of 3747 Restaurants in Vienna,#3516 of 4650 places to eat in Vienna,"Austrian, Cafe, European",,,"Breakfast, Lunch, Dinner","Austrian, Cafe, European",,,N,N,N,"{""Mon"": [""08:00-20:00""], ""Tue"": [""08:00-20:00""], ""Wed"": [""08:00-20:00""], ""Thu"": [""08:00-20:00""], ""Fri"": [""08:00-20:00""], ""Sat"": [""09:00-18:00""], ""Sun"": []}",6.0,69.0,6.0,3.5,10.0,English,1.0,0.0,1.0,0.0,0.0,0.0,,,,,
g190454-d5892099,Go-To-Lee,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Strasse des 1. Mai 106, Vienna 1020 Austria",48.2156,16.39855,Unclaimed,,,,"Philippine, Asian",,,,"Philippine, Asian",,,N,N,N,,,,,,,,,,,,,,,,,,
g190454-d5897321,Fusan Japan Restaurant,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Getreidemarkt 18, Vienna 1010 Austria",48.20227,16.362013,Unclaimed,,#1027 of 3747 Restaurants in Vienna,#1154 of 4650 places to eat in Vienna,"Mid-range, Japanese, Sushi, Asian",€€-€€€,,"Lunch, Dinner","Japanese, Sushi, Asian, Fusion","Vegetarian Friendly, Vegan Options",,Y,Y,N,"{""Mon"": [""11:30-21:30""], ""Tue"": [""11:30-21:30""], ""Wed"": [""11:30-21:30""], ""Thu"": [""11:30-21:30""], ""Fri"": [""11:30-21:30""], ""Sat"": [""11:30-21:30""], ""Sun"": []}",6.0,60.0,6.0,4.5,41.0,English,23.0,19.0,3.0,0.0,0.0,1.0,4.5,4.0,4.5,,
g190454-d5897369,Cafe-Konditorei Aida,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Mariahilfer Strasse 101, Vienna 1060 Austria",48.19706,16.345587,Unclaimed,,#78 of 156 Dessert Spots in Vienna,#1445 of 4650 places to eat in Vienna,"Mid-range, Dessert, Austrian, Cafe",€€-€€€,,Breakfast,"Cafe, Austrian, European",,"Outdoor Seating, Seating, Takeout, Wheelchair Accessible, Table Service",N,N,N,,,,,3.5,124.0,English,32.0,8.0,11.0,6.0,5.0,2.0,3.5,3.5,3.5,3.5,
g190454-d5922033,Simmeringer Landbier,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Simmeringer Hauptstrasse 50, Vienna 1110 Austria",48.178825,16.41141,Claimed,Certificate of Excellence 2019,#1169 of 3747 Restaurants in Vienna,#1306 of 4650 places to eat in Vienna,"Mid-range, German, Austrian, Bar",€€-€€€,,"Lunch, Dinner","German, Austrian, European, Bar, Pub, Central European",Vegetarian Friendly,,Y,N,N,,,,,4.0,71.0,English,15.0,7.0,6.0,1.0,1.0,0.0,4.0,4.5,4.5,,
